City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
57,Dingle,PH,10.9995,122.6711,81.57,82,82,2.68,broken clouds
58,Ushuaia,AR,-54.8,-68.3,46.06,66,40,3.44,scattered clouds
59,Waingapu,ID,-9.6567,120.2641,79.88,73,57,12.15,broken clouds
60,Hilo,US,19.7297,-155.09,88.29,60,20,9.22,few clouds
61,Lashio,MM,22.9333,97.75,67.75,97,99,0.58,overcast clouds
62,Faya,SA,18.3851,42.4509,69.91,41,91,1.25,overcast clouds
63,Carnarvon,AU,-24.8667,113.6333,59.81,51,0,17.11,clear sky
64,Atuona,PF,-9.8,-139.0333,77.22,70,9,21.39,clear sky
65,Hami,CN,42.8,93.45,70.38,23,2,11.16,clear sky
66,Mahebourg,MU,-20.4081,57.7,69.26,84,40,12.19,scattered clouds
67,Gravdal,NO,68.1214,13.5031,51.33,80,87,14.0,overcast clouds
68,Elko,US,41.0002,-115.5012,87.75,12,8,11.99,clear sky
69,Horadiz,AZ,39.4488,47.3353,71.96,41,0,3.76,clear sky
70,Ilulissat,GL,69.2167,-51.1,44.62,57,2,10.36,clear sky
71,Sorong,ID,-0.8833,131.25,78.8,83,98,4.36,overcast clouds
72,Moroni,KM,-11.7022,43.2551,72.25,68,1,5.12,clear sky
73,Te Anau,NZ,-45.4167,167.7167,50.16,72,25,0.6,scattered clouds
74,Kalmunai,LK,7.4167,81.8167,79.12,80,96,3.96,overcast clouds
75,Ladybrand,ZA,-29.1945,27.4574,49.73,38,24,3.15,few clouds
76,Makat,KZ,47.6469,53.3463,77.31,30,11,6.31,few clouds
77,Saskylakh,RU,71.9167,114.0833,42.1,73,100,15.03,overcast clouds
78,Hargeysa,SO,9.56,44.065,70.74,59,12,15.37,few clouds
79,Hermanus,ZA,-34.4187,19.2345,53.08,79,4,8.34,clear sky
80,Bredasdorp,ZA,-34.5322,20.0403,46.8,88,2,8.32,clear sky
81,Anadyr,RU,64.75,177.4833,55.9,82,20,8.95,few clouds
82,Mehamn,NO,71.0357,27.8492,46.31,93,75,14.97,broken clouds
83,Kamina,CD,-8.7386,24.9906,67.8,66,60,2.57,broken clouds
84,Horana,LK,6.7166,80.0619,74.1,93,99,0.36,overcast clouds
85,Dawson Creek,CA,55.7666,-120.2362,69.44,40,20,20.71,few clouds
86,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.13,33,86,1.5,overcast clouds
87,Pangoa,PE,-12.1167,-73.0,74.39,64,47,2.77,scattered clouds
88,Filingue,NE,14.3521,3.3168,78.89,72,91,7.4,overcast clouds
89,Geraldton,AU,-28.7667,114.6,50.41,87,100,10.36,overcast clouds
90,Saint-Louis,SN,16.3333,-15.0,87.44,59,79,9.95,light rain
91,Estelle,US,29.8458,-90.1067,87.01,77,100,8.01,overcast clouds
92,Coahuayana,MX,18.7333,-103.6833,83.26,73,94,4.61,overcast clouds
93,Pevek,RU,69.7008,170.3133,41.95,74,7,4.0,clear sky
94,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,30,0,9.22,clear sky
